"genre","source","coef","max","min","cor"
"Action","igdb_uscore",0.163653145003277,0.184212689259253,0.143093600747302,0.210310072036392
"Action","meta_uscore",-0.0355963023947022,-0.00417068313478736,-0.0670219216546171,-0.0431144264687821
"Action","store_uscore",0.0675511021635687,0.0753432156524729,0.0597589886746645,0.147776339169172
"Adventure","igdb_uscore",0.166973753268152,0.187188935469805,0.146758571066499,0.233894974490208
"Adventure","meta_uscore",0.034428059226745,0.0648855646595627,0.00397055379392735,0.0467011877462983
"Adventure","store_uscore",0.079607512955776,0.0873868317498029,0.0718281941617492,0.185839335532014
"Casual","igdb_uscore",0.0714118605582991,0.0894902326840431,0.0533334884325552,0.134905286535942
"Casual","meta_uscore",0.102525418589581,0.133920048252341,0.0711307889268209,0.207060726117636
"Casual","store_uscore",0.0393735348694733,0.0455377330842523,0.0332093366546943,0.117915108246655
"Racing","igdb_uscore",0.194850690150994,0.270466323002722,0.119235057299267,0.234190679292582
"Racing","meta_uscore",0.0509763639415662,0.16448258488634,-0.0625298570032079,0.0587656838397755
"Racing","store_uscore",0.101486685442233,0.129828749339536,0.0731446215449292,0.204408542618321
"Indie","igdb_uscore",0.102232699273846,0.114486577328635,0.0899788212190564,0.180641471448504
"Indie","meta_uscore",0.0681445267856058,0.0879513873616129,0.0483376662095987,0.118172901204944
"Indie","store_uscore",0.0530358357688805,0.0577928584670803,0.0482788130706807,0.147457011473957
"RPG","igdb_uscore",0.168075054390168,0.202525246862825,0.133624861917511,0.202445586829962
"RPG","meta_uscore",0.0173279482942546,0.0698557581139756,-0.0351998615254664,0.0192253785372204
"RPG","store_uscore",0.0787699185628007,0.0936009405985018,0.0639388965270996,0.147422522620196
"Simulation","igdb_uscore",0.113180967400416,0.14318276829887,0.0831791665019632,0.153136867174928
"Simulation","meta_uscore",-0.0369618992536863,0.012410302420057,-0.0863341009274296,-0.051062229101985
"Simulation","store_uscore",0.0711405704641792,0.0833854545251216,0.0588956864032368,0.150203804465189
