"score_name","avg","score_type","source"
"igdb_score",70.3434079009995,"User Rating","IGDB"
"igdb_uscore",64.8953308063405,"Critic Rating","IGDB"
"meta_score",71.4933641084824,"User Rating","Metacritic"
"meta_uscore",68.9767610748003,"Critic Rating","Metacritic"
